feature,importance
Smoker,0.0850314
Sex,0.08121939
HighChol,0.07751817
Fruits,0.07558222
Age,0.06400687
PhysActivity,0.062232953
GenHlth,0.060672853
DiffWalk,0.0602013
BMI,0.05988128
HeartDiseaseorAttack,0.05899916
Education,0.058046278
Veggies,0.056246758
PhysHlth,0.052669782
MentHlth,0.048647568
HighBP,0.045409735
NoDocbcCost,0.0413604
HvyAlcoholConsump,0.039354675
Stroke,0.032855753
Income,0.032792423
AnyHealthcare,0.02891226
CholCheck,0.02221157
