model,roc_auc,pr_auc,brier_score,log_loss,expected_calibration_error,threshold,sensitivity,specificity,precision,negative_predictive_value,f1_score,accuracy,true_negative,false_positive,false_negative,true_positive
XGBoost,0.8278207244277689,0.42269444166640513,0.09737813761359426,0.31386878062859985,0.003212668579330703,0.14,0.8025273481705016,0.7053129770992367,0.30598302890838486,0.9566387807504348,0.4430445647646814,0.7188584042888678,23099,9651,1047,4255
Random Forest,0.8242897797460844,0.4136262880333767,0.09811844939754784,0.31637566117584,0.0058892876812096035,0.13,0.8129007921539042,0.6895572519083969,0.297713614699178,0.9579215270413574,0.43581576419434753,0.7067434037632713,22583,10167,992,4310
Logistic Regression,0.8197610638071188,0.3909771620789016,0.10014283118009076,0.3224670020612075,0.016425525857576374,0.12,0.8168615616748397,0.6782595419847328,0.2912967446865752,0.9581176673567978,0.42944967773921666,0.6975717439293598,22213,10537,971,4331
1D CNN,0.7149832297188732,0.28633325673558374,0.11142335506218021,0.37008566741025395,0.01764453311885239,0.09999999999999999,0.7900792153904187,0.5068091603053435,0.2059387444078462,0.9371576986053864,0.32671684280310415,0.5462787764112268,16598,16152,1113,4189
